Data,Fajr,Sunrise,Zuhr,Asr,Maghrib,Isha,City Name
"17 gennaio 2025, venerdì",6:03:00,7:33:00,12:30:30,14:51:45,17:03:00,18:33:00,ascoli-piceno
"18 gennaio 2025, sabato",6:02:00,7:32:00,12:30:30,14:52:15,17:04:00,18:34:00,ascoli-piceno
"19 gennaio 2025, domenica",6:02:00,7:32:00,12:31:00,14:53:00,17:06:00,18:36:00,ascoli-piceno
"20 gennaio 2025, lunedì",6:01:00,7:31:00,12:31:00,14:53:30,17:07:00,18:37:00,ascoli-piceno
"21 gennaio 2025, martedì",6:00:00,7:30:00,12:31:00,14:54:00,17:08:00,18:38:00,ascoli-piceno
"22 gennaio 2025, mercoledì",6:00:00,7:30:00,12:32:00,14:55:30,17:09:00,18:39:00,ascoli-piceno
"23 gennaio 2025, giovedì",5:59:00,7:29:00,12:32:00,14:56:00,17:11:00,18:41:00,ascoli-piceno
"24 gennaio 2025, venerdì",5:58:00,7:28:00,12:32:00,14:56:30,17:12:00,18:42:00,ascoli-piceno
"25 gennaio 2025, sabato",5:57:00,7:27:00,12:32:30,14:57:45,17:13:00,18:43:00,ascoli-piceno
"26 gennaio 2025, domenica",5:56:00,7:26:00,12:32:30,14:58:15,17:15:00,18:45:00,ascoli-piceno
"27 gennaio 2025, lunedì",5:56:00,7:26:00,12:33:30,14:59:45,17:16:00,18:46:00,ascoli-piceno
"28 gennaio 2025, martedì",5:55:00,7:25:00,12:33:30,15:00:15,17:17:00,18:47:00,ascoli-piceno
"29 gennaio 2025, mercoledì",5:54:00,7:24:00,12:33:30,15:00:45,17:19:00,18:49:00,ascoli-piceno
"30 gennaio 2025, giovedì",5:53:00,7:23:00,12:34:00,15:02:00,17:20:00,18:50:00,ascoli-piceno
"31 gennaio 2025, venerdì",5:52:00,7:22:00,12:34:00,15:02:30,17:21:00,18:51:00,ascoli-piceno
"1 febbraio 2025, sabato",5:51:00,7:21:00,12:34:00,15:03:00,17:22:00,18:52:00,ascoli-piceno
"2 febbraio 2025, domenica",5:50:00,7:20:00,12:34:30,15:04:15,17:24:00,18:54:00,ascoli-piceno
"3 febbraio 2025, lunedì",5:48:00,7:18:00,12:33:30,15:03:45,17:25:00,18:55:00,ascoli-piceno
"4 febbraio 2025, martedì",5:47:00,7:17:00,12:34:00,15:05:00,17:26:00,18:56:00,ascoli-piceno
"5 febbraio 2025, mercoledì",5:46:00,7:16:00,12:34:00,15:05:30,17:28:00,18:58:00,ascoli-piceno
"6 febbraio 2025, giovedì",5:45:00,7:15:00,12:34:30,15:06:45,17:29:00,18:59:00,ascoli-piceno
"7 febbraio 2025, venerdì",5:44:00,7:14:00,12:34:30,15:07:15,17:30:00,19:00:00,ascoli-piceno
"8 febbraio 2025, sabato",5:42:00,7:12:00,12:34:00,15:07:30,17:32:00,19:02:00,ascoli-piceno
"9 febbraio 2025, domenica",5:41:00,7:11:00,12:34:00,15:08:00,17:33:00,19:03:00,ascoli-piceno
"10 febbraio 2025, lunedì",5:40:00,7:10:00,12:34:30,15:09:15,17:34:00,19:04:00,ascoli-piceno
"11 febbraio 2025, martedì",5:39:00,7:09:00,12:35:00,15:10:30,17:36:00,19:06:00,ascoli-piceno
"12 febbraio 2025, mercoledì",5:37:00,7:07:00,12:34:00,15:10:00,17:37:00,19:07:00,ascoli-piceno
"13 febbraio 2025, giovedì",5:36:00,7:06:00,12:34:30,15:11:15,17:38:00,19:08:00,ascoli-piceno
"14 febbraio 2025, venerdì",5:35:00,7:05:00,12:35:00,15:12:30,17:40:00,19:10:00,ascoli-piceno
"15 febbraio 2025, sabato",5:33:00,7:03:00,12:34:00,15:12:00,17:41:00,19:11:00,ascoli-piceno
"16 febbraio 2025, domenica",5:32:00,7:02:00,12:34:30,15:13:15,17:42:00,19:12:00,ascoli-piceno
"17 febbraio 2025, lunedì",5:30:00,7:00:00,12:34:00,15:13:30,17:44:00,19:14:00,ascoli-piceno
"18 febbraio 2025, martedì",5:29:00,6:59:00,12:34:30,15:14:45,17:45:00,19:15:00,ascoli-piceno
"19 febbraio 2025, mercoledì",5:27:00,6:57:00,12:33:30,15:14:15,17:46:00,19:16:00,ascoli-piceno
"20 febbraio 2025, giovedì",5:26:00,6:56:00,12:34:00,15:15:30,17:47:00,19:17:00,ascoli-piceno
"21 febbraio 2025, venerdì",5:24:00,6:54:00,12:33:30,15:15:45,17:49:00,19:19:00,ascoli-piceno
"22 febbraio 2025, sabato",5:23:00,6:53:00,12:34:00,15:17:00,17:50:00,19:20:00,ascoli-piceno
"23 febbraio 2025, domenica",5:21:00,6:51:00,12:33:00,15:16:30,17:51:00,19:21:00,ascoli-piceno
"24 febbraio 2025, lunedì",5:20:00,6:50:00,12:33:30,15:17:45,17:53:00,19:23:00,ascoli-piceno
"25 febbraio 2025, martedì",5:18:00,6:48:00,12:33:00,15:18:00,17:54:00,19:24:00,ascoli-piceno
"26 febbraio 2025, mercoledì",5:17:00,6:47:00,12:33:30,15:19:15,17:55:00,19:25:00,ascoli-piceno
"27 febbraio 2025, giovedì",5:15:00,6:45:00,12:33:00,15:19:30,17:56:00,19:26:00,ascoli-piceno
"28 febbraio 2025, venerdì",5:13:00,6:43:00,12:32:30,15:19:45,17:58:00,19:28:00,ascoli-piceno
"1 marzo 2025, sabato",5:12:00,6:42:00,12:32:30,15:20:15,17:59:00,19:29:00,ascoli-piceno
"2 marzo 2025, domenica",5:10:00,6:40:00,12:32:00,15:20:30,18:00:00,19:30:00,ascoli-piceno
"3 marzo 2025, lunedì",5:09:00,6:39:00,12:32:30,15:21:45,18:01:00,19:31:00,ascoli-piceno
"4 marzo 2025, martedì",5:07:00,6:37:00,12:32:00,15:22:00,18:02:00,19:32:00,ascoli-piceno
"5 marzo 2025, mercoledì",5:05:00,6:35:00,12:31:30,15:22:15,18:04:00,19:34:00,ascoli-piceno
"6 marzo 2025, giovedì",5:04:00,6:34:00,12:32:00,15:23:30,18:05:00,19:35:00,ascoli-piceno
"7 marzo 2025, venerdì",5:02:00,6:32:00,12:31:30,15:23:45,18:06:00,19:36:00,ascoli-piceno
"8 marzo 2025, sabato",5:00:00,6:30:00,12:31:00,15:24:00,18:07:00,19:37:00,ascoli-piceno
"9 marzo 2025, domenica",4:58:00,6:28:00,12:30:30,15:24:15,18:09:00,19:39:00,ascoli-piceno
"10 marzo 2025, lunedì",4:57:00,6:27:00,12:31:00,15:25:30,18:10:00,19:40:00,ascoli-piceno
"11 marzo 2025, martedì",4:55:00,6:25:00,12:30:00,15:25:00,18:11:00,19:41:00,ascoli-piceno
"12 marzo 2025, mercoledì",4:53:00,6:23:00,12:29:30,15:25:15,18:12:00,19:42:00,ascoli-piceno
"13 marzo 2025, giovedì",4:52:00,6:22:00,12:30:00,15:26:30,18:13:00,19:43:00,ascoli-piceno
"14 marzo 2025, venerdì",4:50:00,6:20:00,12:29:30,15:26:45,18:15:00,19:45:00,ascoli-piceno
"15 marzo 2025, sabato",4:48:00,6:18:00,12:29:00,15:27:00,18:16:00,19:46:00,ascoli-piceno
"16 marzo 2025, domenica",4:46:00,6:16:00,12:28:30,15:27:15,18:17:00,19:47:00,ascoli-piceno
"17 marzo 2025, lunedì",4:45:00,6:15:00,12:29:00,15:28:30,18:18:00,19:48:00,ascoli-piceno
"18 marzo 2025, martedì",4:43:00,6:13:00,12:28:30,15:28:45,18:19:00,19:49:00,ascoli-piceno
"19 marzo 2025, mercoledì",4:41:00,6:11:00,12:28:00,15:29:00,18:20:00,19:50:00,ascoli-piceno
"20 marzo 2025, giovedì",4:39:00,6:09:00,12:27:30,15:29:15,18:22:00,19:52:00,ascoli-piceno
"21 marzo 2025, venerdì",4:38:00,6:08:00,12:28:00,15:30:30,18:23:00,19:53:00,ascoli-piceno
"22 marzo 2025, sabato",4:36:00,6:06:00,12:27:30,15:30:45,18:24:00,19:54:00,ascoli-piceno
"23 marzo 2025, domenica",4:34:00,6:04:00,12:27:00,15:31:00,18:25:00,19:55:00,ascoli-piceno
"24 marzo 2025, lunedì",4:32:00,6:02:00,12:26:00,15:30:30,18:26:00,19:56:00,ascoli-piceno
"25 marzo 2025, martedì",4:31:00,6:01:00,12:26:30,15:31:45,18:27:00,19:57:00,ascoli-piceno
"26 marzo 2025, mercoledì",4:29:00,5:59:00,12:26:00,15:32:00,18:29:00,19:59:00,ascoli-piceno
"27 marzo 2025, giovedì",4:27:00,5:57:00,12:25:30,15:32:15,18:30:00,20:00:00,ascoli-piceno
"28 marzo 2025, venerdì",4:25:00,5:55:00,12:25:00,15:32:30,18:31:00,20:01:00,ascoli-piceno
"29 marzo 2025, sabato",4:24:00,5:54:00,12:25:30,15:33:45,18:32:00,20:02:00,ascoli-piceno
"30 marzo 2025, domenica",5:22:00,6:52:00,13:25:00,16:34:00,19:33:00,21:03:00,ascoli-piceno
"31 marzo 2025, lunedì",5:20:00,6:50:00,13:24:30,16:34:15,19:34:00,21:04:00,ascoli-piceno
"1 aprile 2025, martedì",5:18:00,6:48:00,13:24:00,16:34:30,19:35:00,21:05:00,ascoli-piceno
"2 aprile 2025, mercoledì",5:17:00,6:47:00,13:24:30,16:35:45,19:37:00,21:07:00,ascoli-piceno
"3 aprile 2025, giovedì",5:15:00,6:45:00,13:23:30,16:35:15,19:38:00,21:08:00,ascoli-piceno
"4 aprile 2025, venerdì",5:13:00,6:43:00,13:23:00,16:35:30,19:39:00,21:09:00,ascoli-piceno
"5 aprile 2025, sabato",5:11:00,6:41:00,13:22:30,16:35:45,19:40:00,21:10:00,ascoli-piceno
"6 aprile 2025, domenica",5:10:00,6:40:00,13:23:00,16:37:00,19:41:00,21:11:00,ascoli-piceno
"7 aprile 2025, lunedì",5:08:00,6:38:00,13:22:30,16:37:15,19:42:00,21:12:00,ascoli-piceno
"8 aprile 2025, martedì",5:06:00,6:36:00,13:22:00,16:37:30,19:44:00,21:14:00,ascoli-piceno
"9 aprile 2025, mercoledì",5:05:00,6:35:00,13:22:30,16:38:45,19:45:00,21:15:00,ascoli-piceno
"10 aprile 2025, giovedì",5:03:00,6:33:00,13:21:30,16:38:15,19:46:00,21:16:00,ascoli-piceno
"11 aprile 2025, venerdì",5:01:00,6:31:00,13:21:00,16:38:30,19:47:00,21:17:00,ascoli-piceno
"12 aprile 2025, sabato",5:00:00,6:30:00,13:21:30,16:39:45,19:48:00,21:18:00,ascoli-piceno
"13 aprile 2025, domenica",4:58:00,6:28:00,13:21:00,16:40:00,19:49:00,21:19:00,ascoli-piceno
"14 aprile 2025, lunedì",4:56:00,6:26:00,13:20:30,16:40:15,19:50:00,21:20:00,ascoli-piceno
"15 aprile 2025, martedì",4:55:00,6:25:00,13:20:30,16:40:45,19:52:00,21:22:00,ascoli-piceno
"16 aprile 2025, mercoledì",4:53:00,6:23:00,13:20:00,16:41:00,19:53:00,21:23:00,ascoli-piceno
"17 aprile 2025, giovedì",4:51:00,6:21:00,13:19:30,16:41:15,19:54:00,21:24:00,ascoli-piceno
"18 aprile 2025, venerdì",4:50:00,6:20:00,13:20:00,16:42:30,19:55:00,21:25:00,ascoli-piceno
"19 aprile 2025, sabato",4:48:00,6:18:00,13:19:00,16:42:00,19:56:00,21:26:00,ascoli-piceno
"20 aprile 2025, domenica",4:47:00,6:17:00,13:19:30,16:43:15,19:57:00,21:27:00,ascoli-piceno
"21 aprile 2025, lunedì",4:45:00,6:15:00,13:19:00,16:43:30,19:58:00,21:28:00,ascoli-piceno
"22 aprile 2025, martedì",4:44:00,6:14:00,13:19:30,16:44:45,20:00:00,21:30:00,ascoli-piceno
"23 aprile 2025, mercoledì",4:42:00,6:12:00,13:18:30,16:44:15,20:01:00,21:31:00,ascoli-piceno
"24 aprile 2025, giovedì",4:40:00,6:10:00,13:18:00,16:44:30,20:02:00,21:32:00,ascoli-piceno
"25 aprile 2025, venerdì",4:39:00,6:09:00,13:18:30,16:45:45,20:03:00,21:33:00,ascoli-piceno
"26 aprile 2025, sabato",4:38:00,6:08:00,13:18:30,16:46:15,20:04:00,21:34:00,ascoli-piceno
"27 aprile 2025, domenica",4:36:00,6:06:00,13:18:00,16:46:30,20:05:00,21:35:00,ascoli-piceno
"28 aprile 2025, lunedì",4:35:00,6:05:00,13:18:00,16:47:00,20:06:00,21:36:00,ascoli-piceno
"29 aprile 2025, martedì",4:33:00,6:03:00,13:17:30,16:47:15,20:08:00,21:38:00,ascoli-piceno
"30 aprile 2025, mercoledì",4:32:00,6:02:00,13:17:30,16:47:45,20:09:00,21:39:00,ascoli-piceno
"1 maggio 2025, giovedì",4:30:00,6:00:00,13:17:00,16:48:00,20:10:00,21:40:00,ascoli-piceno
"2 maggio 2025, venerdì",4:29:00,5:59:00,13:17:00,16:48:30,20:11:00,21:41:00,ascoli-piceno
"3 maggio 2025, sabato",4:28:00,5:58:00,13:17:30,16:49:45,20:12:00,21:42:00,ascoli-piceno
"4 maggio 2025, domenica",4:26:00,5:56:00,13:16:30,16:49:15,20:13:00,21:43:00,ascoli-piceno
"5 maggio 2025, lunedì",4:25:00,5:55:00,13:17:00,16:50:30,20:14:00,21:44:00,ascoli-piceno
"6 maggio 2025, martedì",4:24:00,5:54:00,13:17:00,16:51:00,20:15:00,21:45:00,ascoli-piceno
"7 maggio 2025, mercoledì",4:23:00,5:53:00,13:17:00,16:51:30,20:17:00,21:47:00,ascoli-piceno
"8 maggio 2025, giovedì",4:21:00,5:51:00,13:16:30,16:51:45,20:18:00,21:48:00,ascoli-piceno
"9 maggio 2025, venerdì",4:20:00,5:50:00,13:16:30,16:52:15,20:19:00,21:49:00,ascoli-piceno
"10 maggio 2025, sabato",4:19:00,5:49:00,13:16:30,16:52:45,20:20:00,21:50:00,ascoli-piceno
"11 maggio 2025, domenica",4:18:00,5:48:00,13:17:00,16:54:00,20:21:00,21:51:00,ascoli-piceno
"12 maggio 2025, lunedì",4:17:00,5:47:00,13:17:00,16:54:30,20:22:00,21:52:00,ascoli-piceno
"13 maggio 2025, martedì",4:16:00,5:46:00,13:17:00,16:55:00,20:23:00,21:53:00,ascoli-piceno
"14 maggio 2025, mercoledì",4:15:00,5:45:00,13:17:00,16:55:30,20:24:00,21:54:00,ascoli-piceno
"15 maggio 2025, giovedì",4:14:00,5:44:00,13:17:00,16:56:00,20:25:00,21:55:00,ascoli-piceno
"16 maggio 2025, venerdì",4:13:00,5:43:00,13:17:00,16:56:30,20:26:00,21:56:00,ascoli-piceno
"17 maggio 2025, sabato",4:12:00,5:42:00,13:17:00,16:57:00,20:27:00,21:57:00,ascoli-piceno
"18 maggio 2025, domenica",4:11:00,5:41:00,13:17:00,16:57:30,20:28:00,21:58:00,ascoli-piceno
"19 maggio 2025, lunedì",4:10:00,5:40:00,13:17:00,16:58:00,20:29:00,21:59:00,ascoli-piceno
"20 maggio 2025, martedì",4:09:00,5:39:00,13:17:00,16:58:30,20:30:00,22:00:00,ascoli-piceno
"21 maggio 2025, mercoledì",4:08:00,5:38:00,13:17:00,16:59:00,20:31:00,22:01:00,ascoli-piceno
"22 maggio 2025, giovedì",4:07:00,5:37:00,13:17:00,16:59:30,20:32:00,22:02:00,ascoli-piceno
"23 maggio 2025, venerdì",4:06:00,5:36:00,13:16:30,16:59:15,20:33:00,22:03:00,ascoli-piceno
"24 maggio 2025, sabato",4:05:00,5:35:00,13:16:30,16:59:45,20:34:00,22:04:00,ascoli-piceno
"25 maggio 2025, domenica",4:05:00,5:35:00,13:17:30,17:01:15,20:35:00,22:05:00,ascoli-piceno
"26 maggio 2025, lunedì",4:04:00,5:34:00,13:17:00,17:01:00,20:36:00,22:06:00,ascoli-piceno
"27 maggio 2025, martedì",4:03:00,5:33:00,13:17:00,17:01:30,20:37:00,22:07:00,ascoli-piceno
"28 maggio 2025, mercoledì",4:03:00,5:33:00,13:18:00,17:03:00,20:38:00,22:08:00,ascoli-piceno
"29 maggio 2025, giovedì",4:02:00,5:32:00,13:17:30,17:02:45,20:39:00,22:09:00,ascoli-piceno
"30 maggio 2025, venerdì",4:02:00,5:32:00,13:18:00,17:03:30,20:39:00,22:09:00,ascoli-piceno
"31 maggio 2025, sabato",4:01:00,5:31:00,13:18:00,17:04:00,20:40:00,22:10:00,ascoli-piceno
"1 giugno 2025, domenica",4:01:00,5:31:00,13:18:30,17:04:45,20:41:00,22:11:00,ascoli-piceno
"2 giugno 2025, lunedì",4:00:00,5:30:00,13:18:00,17:04:30,20:42:00,22:12:00,ascoli-piceno
"3 giugno 2025, martedì",4:00:00,5:30:00,13:18:30,17:05:15,20:43:00,22:13:00,ascoli-piceno
"4 giugno 2025, mercoledì",3:59:00,5:29:00,13:18:30,17:05:45,20:43:00,22:13:00,ascoli-piceno
"5 giugno 2025, giovedì",3:59:00,5:29:00,13:19:00,17:06:30,20:44:00,22:14:00,ascoli-piceno
"6 giugno 2025, venerdì",3:59:00,5:29:00,13:19:30,17:07:15,20:45:00,22:15:00,ascoli-piceno
"7 giugno 2025, sabato",3:58:00,5:28:00,13:19:00,17:07:00,20:45:00,22:15:00,ascoli-piceno
"8 giugno 2025, domenica",3:58:00,5:28:00,13:19:00,17:07:00,20:46:00,22:16:00,ascoli-piceno
"9 giugno 2025, lunedì",3:58:00,5:28:00,13:19:30,17:07:45,20:46:00,22:16:00,ascoli-piceno
"10 giugno 2025, martedì",3:58:00,5:28:00,13:20:00,17:08:30,20:47:00,22:17:00,ascoli-piceno
"11 giugno 2025, mercoledì",3:57:00,5:27:00,13:19:30,17:08:15,20:48:00,22:18:00,ascoli-piceno
"12 giugno 2025, giovedì",3:57:00,5:27:00,13:19:30,17:08:15,20:48:00,22:18:00,ascoli-piceno
"13 giugno 2025, venerdì",3:57:00,5:27:00,13:20:00,17:09:00,20:49:00,22:19:00,ascoli-piceno
"14 giugno 2025, sabato",3:57:00,5:27:00,13:20:00,17:09:00,20:49:00,22:19:00,ascoli-piceno
"15 giugno 2025, domenica",3:57:00,5:27:00,13:20:30,17:09:45,20:49:00,22:19:00,ascoli-piceno
"16 giugno 2025, lunedì",3:57:00,5:27:00,13:20:30,17:09:45,20:50:00,22:20:00,ascoli-piceno
"17 giugno 2025, martedì",3:57:00,5:27:00,13:20:30,17:09:45,20:50:00,22:20:00,ascoli-piceno
"18 giugno 2025, mercoledì",3:57:00,5:27:00,13:20:30,17:09:45,20:50:00,22:20:00,ascoli-piceno
"19 giugno 2025, giovedì",3:58:00,5:28:00,13:22:00,17:11:30,20:51:00,22:21:00,ascoli-piceno
"20 giugno 2025, venerdì",3:58:00,5:28:00,13:22:00,17:11:30,20:51:00,22:21:00,ascoli-piceno
"21 giugno 2025, sabato",3:58:00,5:28:00,13:22:00,17:11:30,20:51:00,22:21:00,ascoli-piceno
"22 giugno 2025, domenica",3:58:00,5:28:00,13:22:00,17:11:30,20:51:00,22:21:00,ascoli-piceno
"23 giugno 2025, lunedì",3:58:00,5:28:00,13:22:00,17:11:30,20:51:00,22:21:00,ascoli-piceno
"24 giugno 2025, martedì",3:59:00,5:29:00,13:22:30,17:11:45,20:52:00,22:22:00,ascoli-piceno
"25 giugno 2025, mercoledì",3:59:00,5:29:00,13:22:30,17:11:45,20:52:00,22:22:00,ascoli-piceno
"26 giugno 2025, giovedì",3:59:00,5:29:00,13:22:30,17:11:45,20:52:00,22:22:00,ascoli-piceno
"27 giugno 2025, venerdì",4:00:00,5:30:00,13:23:00,17:12:00,20:52:00,22:22:00,ascoli-piceno
"28 giugno 2025, sabato",4:00:00,5:30:00,13:23:00,17:12:00,20:52:00,22:22:00,ascoli-piceno
"29 giugno 2025, domenica",4:01:00,5:31:00,13:23:30,17:12:15,20:52:00,22:22:00,ascoli-piceno
"30 giugno 2025, lunedì",4:01:00,5:31:00,13:23:30,17:12:15,20:51:00,22:21:00,ascoli-piceno
"1 luglio 2025, martedì",4:02:00,5:32:00,13:24:00,17:12:30,20:51:00,22:21:00,ascoli-piceno
"2 luglio 2025, mercoledì",4:02:00,5:32:00,13:23:30,17:11:45,20:51:00,22:21:00,ascoli-piceno
"3 luglio 2025, giovedì",4:03:00,5:33:00,13:24:30,17:12:45,20:51:00,22:21:00,ascoli-piceno
"4 luglio 2025, venerdì",4:03:00,5:33:00,13:24:00,17:12:00,20:51:00,22:21:00,ascoli-piceno
"5 luglio 2025, sabato",4:04:00,5:34:00,13:24:30,17:12:15,20:50:00,22:20:00,ascoli-piceno
"6 luglio 2025, domenica",4:05:00,5:35:00,13:25:00,17:12:30,20:50:00,22:20:00,ascoli-piceno
"7 luglio 2025, lunedì",4:05:00,5:35:00,13:24:30,17:11:45,20:50:00,22:20:00,ascoli-piceno
"8 luglio 2025, martedì",4:06:00,5:36:00,13:25:00,17:12:00,20:49:00,22:19:00,ascoli-piceno
"9 luglio 2025, mercoledì",4:07:00,5:37:00,13:25:30,17:12:15,20:49:00,22:19:00,ascoli-piceno
"10 luglio 2025, giovedì",4:08:00,5:38:00,13:25:30,17:11:45,20:48:00,22:18:00,ascoli-piceno
"11 luglio 2025, venerdì",4:08:00,5:38:00,13:25:00,17:11:00,20:48:00,22:18:00,ascoli-piceno
"12 luglio 2025, sabato",4:09:00,5:39:00,13:25:30,17:11:15,20:47:00,22:17:00,ascoli-piceno
"13 luglio 2025, domenica",4:10:00,5:40:00,13:25:30,17:10:45,20:47:00,22:17:00,ascoli-piceno
"14 luglio 2025, lunedì",4:11:00,5:41:00,13:26:00,17:11:00,20:46:00,22:16:00,ascoli-piceno
"15 luglio 2025, martedì",4:11:00,5:41:00,13:25:30,17:10:15,20:46:00,22:16:00,ascoli-piceno
"16 luglio 2025, mercoledì",4:12:00,5:42:00,13:25:30,17:09:45,20:45:00,22:15:00,ascoli-piceno
"17 luglio 2025, giovedì",4:13:00,5:43:00,13:25:30,17:09:15,20:44:00,22:14:00,ascoli-piceno
"18 luglio 2025, venerdì",4:14:00,5:44:00,13:26:00,17:09:30,20:43:00,22:13:00,ascoli-piceno
"19 luglio 2025, sabato",4:15:00,5:45:00,13:26:00,17:09:00,20:43:00,22:13:00,ascoli-piceno
"20 luglio 2025, domenica",4:16:00,5:46:00,13:26:00,17:08:30,20:42:00,22:12:00,ascoli-piceno
"21 luglio 2025, lunedì",4:17:00,5:47:00,13:26:30,17:08:45,20:41:00,22:11:00,ascoli-piceno
"22 luglio 2025, martedì",4:18:00,5:48:00,13:26:30,17:08:15,20:40:00,22:10:00,ascoli-piceno
"23 luglio 2025, mercoledì",4:19:00,5:49:00,13:26:30,17:07:45,20:39:00,22:09:00,ascoli-piceno
"24 luglio 2025, giovedì",4:20:00,5:50:00,13:26:30,17:07:15,20:38:00,22:08:00,ascoli-piceno
"25 luglio 2025, venerdì",4:21:00,5:51:00,13:26:30,17:06:45,20:37:00,22:07:00,ascoli-piceno
"26 luglio 2025, sabato",4:22:00,5:52:00,13:26:30,17:06:15,20:36:00,22:06:00,ascoli-piceno
"27 luglio 2025, domenica",4:23:00,5:53:00,13:26:30,17:05:45,20:35:00,22:05:00,ascoli-piceno
"28 luglio 2025, lunedì",4:24:00,5:54:00,13:26:30,17:05:15,20:34:00,22:04:00,ascoli-piceno
"29 luglio 2025, martedì",4:25:00,5:55:00,13:26:30,17:04:45,20:33:00,22:03:00,ascoli-piceno
"30 luglio 2025, mercoledì",4:26:00,5:56:00,13:26:30,17:04:15,20:32:00,22:02:00,ascoli-piceno
"31 luglio 2025, giovedì",4:27:00,5:57:00,13:26:30,17:03:45,20:31:00,22:01:00,ascoli-piceno
"1 agosto 2025, venerdì",4:28:00,5:58:00,13:26:00,17:02:30,20:30:00,22:00:00,ascoli-piceno
"2 agosto 2025, sabato",4:29:00,5:59:00,13:26:00,17:02:00,20:29:00,21:59:00,ascoli-piceno
"3 agosto 2025, domenica",4:30:00,6:00:00,13:26:00,17:01:30,20:27:00,21:57:00,ascoli-piceno
"4 agosto 2025, lunedì",4:31:00,6:01:00,13:26:00,17:01:00,20:26:00,21:56:00,ascoli-piceno
"5 agosto 2025, martedì",4:32:00,6:02:00,13:25:30,16:59:45,20:25:00,21:55:00,ascoli-piceno
"6 agosto 2025, mercoledì",4:33:00,6:03:00,13:25:30,16:59:15,20:24:00,21:54:00,ascoli-piceno
"7 agosto 2025, giovedì",4:34:00,6:04:00,13:25:30,16:58:45,20:22:00,21:52:00,ascoli-piceno
"8 agosto 2025, venerdì",4:35:00,6:05:00,13:25:00,16:57:30,20:21:00,21:51:00,ascoli-piceno
"9 agosto 2025, sabato",4:36:00,6:06:00,13:25:00,16:57:00,20:20:00,21:50:00,ascoli-piceno
"10 agosto 2025, domenica",4:37:00,6:07:00,13:24:30,16:55:45,20:18:00,21:48:00,ascoli-piceno
"11 agosto 2025, lunedì",4:38:00,6:08:00,13:24:30,16:55:15,20:17:00,21:47:00,ascoli-piceno
"12 agosto 2025, martedì",4:39:00,6:09:00,13:24:00,16:54:00,20:15:00,21:45:00,ascoli-piceno
"13 agosto 2025, mercoledì",4:40:00,6:10:00,13:24:00,16:53:30,20:14:00,21:44:00,ascoli-piceno
"14 agosto 2025, giovedì",4:42:00,6:12:00,13:24:30,16:53:15,20:12:00,21:42:00,ascoli-piceno
"15 agosto 2025, venerdì",4:43:00,6:13:00,13:24:30,16:52:45,20:11:00,21:41:00,ascoli-piceno
"16 agosto 2025, sabato",4:44:00,6:14:00,13:24:00,16:51:30,20:09:00,21:39:00,ascoli-piceno
"17 agosto 2025, domenica",4:45:00,6:15:00,13:24:00,16:51:00,20:08:00,21:38:00,ascoli-piceno
"18 agosto 2025, lunedì",4:46:00,6:16:00,13:23:30,16:49:45,20:06:00,21:36:00,ascoli-piceno
"19 agosto 2025, martedì",4:47:00,6:17:00,13:23:00,16:48:30,20:05:00,21:35:00,ascoli-piceno
"20 agosto 2025, mercoledì",4:48:00,6:18:00,13:23:00,16:48:00,20:03:00,21:33:00,ascoli-piceno
