Data,Fajr_Begins,Fajr_Jamah,Sunrise,Zuhr_Begins,Zuhr_Jamah,Asr_Begins,Asr_Jamah,Maghrib_Begins,Maghrib_Jamah,Isha_Begins,Isha_Jamah,City Name
"8 marzo 2026, domenica",5:01:00,5:01:00,6:31:00,12:31:30,12:31:30,15:24:15,15:24:15,18:07:00,18:07:00,19:37:00,19:37:00,ascoli-piceno
"9 marzo 2026, lunedì",4:59:00,4:59:00,6:29:00,12:31:00,12:31:00,15:24:30,15:24:30,18:08:00,18:08:00,19:38:00,19:38:00,ascoli-piceno
"10 marzo 2026, martedì",4:57:00,4:57:00,6:27:00,12:30:30,12:30:30,15:24:45,15:24:45,18:09:00,18:09:00,19:39:00,19:39:00,ascoli-piceno
"11 marzo 2026, mercoledì",4:55:00,4:55:00,6:25:00,12:30:00,12:30:00,15:25:00,15:25:00,18:11:00,18:11:00,19:41:00,19:41:00,ascoli-piceno
"12 marzo 2026, giovedì",4:54:00,4:54:00,6:24:00,12:30:30,12:30:30,15:26:15,15:26:15,18:12:00,18:12:00,19:42:00,19:42:00,ascoli-piceno
"13 marzo 2026, venerdì",4:52:00,4:52:00,6:22:00,12:30:00,12:30:00,15:26:30,15:26:30,18:13:00,18:13:00,19:43:00,19:43:00,ascoli-piceno
"14 marzo 2026, sabato",4:50:00,4:50:00,6:20:00,12:29:30,12:29:30,15:26:45,15:26:45,18:14:00,18:14:00,19:44:00,19:44:00,ascoli-piceno
"15 marzo 2026, domenica",4:49:00,4:49:00,6:19:00,12:29:30,12:29:30,15:27:15,15:27:15,18:15:00,18:15:00,19:45:00,19:45:00,ascoli-piceno
"16 marzo 2026, lunedì",4:47:00,4:47:00,6:17:00,12:29:00,12:29:00,15:27:30,15:27:30,18:17:00,18:17:00,19:47:00,19:47:00,ascoli-piceno
"17 marzo 2026, martedì",4:45:00,4:45:00,6:15:00,12:28:30,12:28:30,15:27:45,15:27:45,18:18:00,18:18:00,19:48:00,19:48:00,ascoli-piceno
"18 marzo 2026, mercoledì",4:43:00,4:43:00,6:13:00,12:28:00,12:28:00,15:28:00,15:28:00,18:19:00,18:19:00,19:49:00,19:49:00,ascoli-piceno
"19 marzo 2026, giovedì",4:42:00,4:42:00,6:12:00,12:28:30,12:28:30,15:29:15,15:29:15,18:20:00,18:20:00,19:50:00,19:50:00,ascoli-piceno
"19 febbraio 2026, giovedì",5:52:00,5:52:00,7:22:00,12:55:30,12:55:30,15:34:45,15:34:45,18:04:00,18:04:00,19:34:00,19:34:00,asti
"20 febbraio 2026, venerdì",5:51:00,5:51:00,7:21:00,12:56:00,12:56:00,15:36:00,15:36:00,18:06:00,18:06:00,19:36:00,19:36:00,asti
"21 febbraio 2026, sabato",5:49:00,5:49:00,7:19:00,12:55:30,12:55:30,15:36:15,15:36:15,18:07:00,18:07:00,19:37:00,19:37:00,asti
"22 febbraio 2026, domenica",5:47:00,5:47:00,7:17:00,12:55:00,12:55:00,15:36:30,15:36:30,18:09:00,18:09:00,19:39:00,19:39:00,asti
"23 febbraio 2026, lunedì",5:46:00,5:46:00,7:16:00,12:55:30,12:55:30,15:37:45,15:37:45,18:10:00,18:10:00,19:40:00,19:40:00,asti
"24 febbraio 2026, martedì",5:44:00,5:44:00,7:14:00,12:55:00,12:55:00,15:38:00,15:38:00,18:11:00,18:11:00,19:41:00,19:41:00,asti
"25 febbraio 2026, mercoledì",5:42:00,5:42:00,7:12:00,12:54:30,12:54:30,15:38:15,15:38:15,18:13:00,18:13:00,19:43:00,19:43:00,asti
"26 febbraio 2026, giovedì",5:41:00,5:41:00,7:11:00,12:55:00,12:55:00,15:39:30,15:39:30,18:14:00,18:14:00,19:44:00,19:44:00,asti
"27 febbraio 2026, venerdì",5:39:00,5:39:00,7:09:00,12:54:30,12:54:30,15:39:45,15:39:45,18:15:00,18:15:00,19:45:00,19:45:00,asti
"28 febbraio 2026, sabato",5:37:00,5:37:00,7:07:00,12:54:00,12:54:00,15:40:00,15:40:00,18:17:00,18:17:00,19:47:00,19:47:00,asti
"1 marzo 2026, domenica",5:36:00,5:36:00,7:06:00,12:54:30,12:54:30,15:41:15,15:41:15,18:18:00,18:18:00,19:48:00,19:48:00,asti
"2 marzo 2026, lunedì",5:34:00,5:34:00,7:04:00,12:54:00,12:54:00,15:41:30,15:41:30,18:19:00,18:19:00,19:49:00,19:49:00,asti
"3 marzo 2026, martedì",5:32:00,5:32:00,7:02:00,12:53:30,12:53:30,15:41:45,15:41:45,18:21:00,18:21:00,19:51:00,19:51:00,asti
"4 marzo 2026, mercoledì",5:30:00,5:30:00,7:00:00,12:53:00,12:53:00,15:42:00,15:42:00,18:22:00,18:22:00,19:52:00,19:52:00,asti
"5 marzo 2026, giovedì",5:29:00,5:29:00,6:59:00,12:53:30,12:53:30,15:43:15,15:43:15,18:23:00,18:23:00,19:53:00,19:53:00,asti
"6 marzo 2026, venerdì",5:27:00,5:27:00,6:57:00,12:53:30,12:53:30,15:44:15,15:44:15,18:25:00,18:25:00,19:55:00,19:55:00,asti
"7 marzo 2026, sabato",5:25:00,5:25:00,6:55:00,12:53:00,12:53:00,15:44:30,15:44:30,18:26:00,18:26:00,19:56:00,19:56:00,asti
"8 marzo 2026, domenica",5:23:00,5:23:00,6:53:00,12:52:30,12:52:30,15:44:45,15:44:45,18:27:00,18:27:00,19:57:00,19:57:00,asti
"9 marzo 2026, lunedì",5:21:00,5:21:00,6:51:00,12:52:00,12:52:00,15:45:00,15:45:00,18:29:00,18:29:00,19:59:00,19:59:00,asti
"10 marzo 2026, martedì",5:20:00,5:20:00,6:50:00,12:52:30,12:52:30,15:46:15,15:46:15,18:30:00,18:30:00,20:00:00,20:00:00,asti
"11 marzo 2026, mercoledì",5:18:00,5:18:00,6:48:00,12:52:00,12:52:00,15:46:30,15:46:30,18:31:00,18:31:00,20:01:00,20:01:00,asti
"12 marzo 2026, giovedì",5:16:00,5:16:00,6:46:00,12:51:30,12:51:30,15:46:45,15:46:45,18:33:00,18:33:00,20:03:00,20:03:00,asti
"13 marzo 2026, venerdì",5:14:00,5:14:00,6:44:00,12:51:00,12:51:00,15:47:00,15:47:00,18:34:00,18:34:00,20:04:00,20:04:00,asti
"14 marzo 2026, sabato",5:12:00,5:12:00,6:42:00,12:51:00,12:51:00,15:48:00,15:48:00,18:35:00,18:35:00,20:05:00,20:05:00,asti
"15 marzo 2026, domenica",5:10:00,5:10:00,6:40:00,12:50:30,12:50:30,15:48:15,15:48:15,18:37:00,18:37:00,20:07:00,20:07:00,asti
"16 marzo 2026, lunedì",5:09:00,5:09:00,6:39:00,12:51:00,12:51:00,15:49:30,15:49:30,18:38:00,18:38:00,20:08:00,20:08:00,asti
"17 marzo 2026, martedì",5:07:00,5:07:00,6:37:00,12:50:30,12:50:30,15:49:45,15:49:45,18:39:00,18:39:00,20:09:00,20:09:00,asti
"18 marzo 2026, mercoledì",5:05:00,5:05:00,6:35:00,12:50:00,12:50:00,15:50:00,15:50:00,18:40:00,18:40:00,20:10:00,20:10:00,asti
"19 marzo 2026, giovedì",5:03:00,5:03:00,6:33:00,12:49:30,12:49:30,15:50:15,15:50:15,18:42:00,18:42:00,20:12:00,20:12:00,asti
"19 febbraio 2026, giovedì",5:39:00,5:39:00,7:09:00,12:43:30,12:43:30,15:23:15,15:23:15,17:54:00,17:54:00,19:24:00,19:24:00,barberino-di-mugello
"20 febbraio 2026, venerdì",5:37:00,5:37:00,7:07:00,12:43:00,12:43:00,15:23:30,15:23:30,17:55:00,17:55:00,19:25:00,19:25:00,barberino-di-mugello
"21 febbraio 2026, sabato",5:36:00,5:36:00,7:06:00,12:43:30,12:43:30,15:24:45,15:24:45,17:56:00,17:56:00,19:26:00,19:26:00,barberino-di-mugello
"22 febbraio 2026, domenica",5:34:00,5:34:00,7:04:00,12:43:00,12:43:00,15:25:00,15:25:00,17:58:00,17:58:00,19:28:00,19:28:00,barberino-di-mugello
"23 febbraio 2026, lunedì",5:32:00,5:32:00,7:02:00,12:42:30,12:42:30,15:25:15,15:25:15,17:59:00,17:59:00,19:29:00,19:29:00,barberino-di-mugello
"24 febbraio 2026, martedì",5:31:00,5:31:00,7:01:00,12:43:00,12:43:00,15:26:30,15:26:30,18:00:00,18:00:00,19:30:00,19:30:00,barberino-di-mugello
"25 febbraio 2026, mercoledì",5:29:00,5:29:00,6:59:00,12:42:30,12:42:30,15:26:45,15:26:45,18:02:00,18:02:00,19:32:00,19:32:00,barberino-di-mugello
"26 febbraio 2026, giovedì",5:28:00,5:28:00,6:58:00,12:43:00,12:43:00,15:28:00,15:28:00,18:03:00,18:03:00,19:33:00,19:33:00,barberino-di-mugello
"27 febbraio 2026, venerdì",5:26:00,5:26:00,6:56:00,12:42:30,12:42:30,15:28:15,15:28:15,18:04:00,18:04:00,19:34:00,19:34:00,barberino-di-mugello
"28 febbraio 2026, sabato",5:24:00,5:24:00,6:54:00,12:42:00,12:42:00,15:28:30,15:28:30,18:06:00,18:06:00,19:36:00,19:36:00,barberino-di-mugello
"1 marzo 2026, domenica",5:23:00,5:23:00,6:53:00,12:42:30,12:42:30,15:29:45,15:29:45,18:07:00,18:07:00,19:37:00,19:37:00,barberino-di-mugello
"2 marzo 2026, lunedì",5:21:00,5:21:00,6:51:00,12:42:00,12:42:00,15:30:00,15:30:00,18:08:00,18:08:00,19:38:00,19:38:00,barberino-di-mugello
"3 marzo 2026, martedì",5:19:00,5:19:00,6:49:00,12:41:30,12:41:30,15:30:15,15:30:15,18:09:00,18:09:00,19:39:00,19:39:00,barberino-di-mugello
"4 marzo 2026, mercoledì",5:17:00,5:17:00,6:47:00,12:41:00,12:41:00,15:30:30,15:30:30,18:11:00,18:11:00,19:41:00,19:41:00,barberino-di-mugello
"5 marzo 2026, giovedì",5:16:00,5:16:00,6:46:00,12:41:30,12:41:30,15:31:45,15:31:45,18:12:00,18:12:00,19:42:00,19:42:00,barberino-di-mugello
"6 marzo 2026, venerdì",5:14:00,5:14:00,6:44:00,12:41:00,12:41:00,15:32:00,15:32:00,18:13:00,18:13:00,19:43:00,19:43:00,barberino-di-mugello
"7 marzo 2026, sabato",5:12:00,5:12:00,6:42:00,12:40:30,12:40:30,15:32:15,15:32:15,18:15:00,18:15:00,19:45:00,19:45:00,barberino-di-mugello
"8 marzo 2026, domenica",5:11:00,5:11:00,6:41:00,12:41:00,12:41:00,15:33:30,15:33:30,18:16:00,18:16:00,19:46:00,19:46:00,barberino-di-mugello
"9 marzo 2026, lunedì",5:09:00,5:09:00,6:39:00,12:40:30,12:40:30,15:33:45,15:33:45,18:17:00,18:17:00,19:47:00,19:47:00,barberino-di-mugello
"10 marzo 2026, martedì",5:07:00,5:07:00,6:37:00,12:40:00,12:40:00,15:34:00,15:34:00,18:18:00,18:18:00,19:48:00,19:48:00,barberino-di-mugello
"11 marzo 2026, mercoledì",5:05:00,5:05:00,6:35:00,12:39:30,12:39:30,15:34:15,15:34:15,18:20:00,18:20:00,19:50:00,19:50:00,barberino-di-mugello
"12 marzo 2026, giovedì",5:03:00,5:03:00,6:33:00,12:39:00,12:39:00,15:34:30,15:34:30,18:21:00,18:21:00,19:51:00,19:51:00,barberino-di-mugello
"13 marzo 2026, venerdì",5:02:00,5:02:00,6:32:00,12:39:30,12:39:30,15:35:45,15:35:45,18:22:00,18:22:00,19:52:00,19:52:00,barberino-di-mugello
"14 marzo 2026, sabato",5:00:00,5:00:00,6:30:00,12:39:00,12:39:00,15:36:00,15:36:00,18:23:00,18:23:00,19:53:00,19:53:00,barberino-di-mugello
"15 marzo 2026, domenica",4:58:00,4:58:00,6:28:00,12:38:30,12:38:30,15:36:15,15:36:15,18:25:00,18:25:00,19:55:00,19:55:00,barberino-di-mugello
"16 marzo 2026, lunedì",4:56:00,4:56:00,6:26:00,12:38:00,12:38:00,15:36:30,15:36:30,18:26:00,18:26:00,19:56:00,19:56:00,barberino-di-mugello
"17 marzo 2026, martedì",4:54:00,4:54:00,6:24:00,12:37:30,12:37:30,15:36:45,15:36:45,18:27:00,18:27:00,19:57:00,19:57:00,barberino-di-mugello
"18 marzo 2026, mercoledì",4:53:00,4:53:00,6:23:00,12:38:00,12:38:00,15:38:00,15:38:00,18:28:00,18:28:00,19:58:00,19:58:00,barberino-di-mugello
"19 marzo 2026, giovedì",4:51:00,4:51:00,6:21:00,12:37:30,12:37:30,15:38:15,15:38:15,18:30:00,18:30:00,20:00:00,20:00:00,barberino-di-mugello
"19 febbraio 2026, giovedì",5:12:00,5:12:00,6:42:00,12:20:30,12:20:30,15:02:15,15:02:15,17:35:00,17:35:00,19:05:00,19:05:00,bari
"20 febbraio 2026, venerdì",5:11:00,5:11:00,6:41:00,12:21:00,12:21:00,15:03:30,15:03:30,17:36:00,17:36:00,19:06:00,19:06:00,bari
"21 febbraio 2026, sabato",5:09:00,5:09:00,6:39:00,12:20:30,12:20:30,15:03:45,15:03:45,17:37:00,17:37:00,19:07:00,19:07:00,bari
"22 febbraio 2026, domenica",5:08:00,5:08:00,6:38:00,12:20:30,12:20:30,15:04:15,15:04:15,17:39:00,17:39:00,19:09:00,19:09:00,bari
"23 febbraio 2026, lunedì",5:07:00,5:07:00,6:37:00,12:21:00,12:21:00,15:05:30,15:05:30,17:40:00,17:40:00,19:10:00,19:10:00,bari
"24 febbraio 2026, martedì",5:05:00,5:05:00,6:35:00,12:20:00,12:20:00,15:05:00,15:05:00,17:41:00,17:41:00,19:11:00,19:11:00,bari
"25 febbraio 2026, mercoledì",5:04:00,5:04:00,6:34:00,12:20:30,12:20:30,15:06:15,15:06:15,17:42:00,17:42:00,19:12:00,19:12:00,bari
"26 febbraio 2026, giovedì",5:02:00,5:02:00,6:32:00,12:20:00,12:20:00,15:06:30,15:06:30,17:43:00,17:43:00,19:13:00,19:13:00,bari
"27 febbraio 2026, venerdì",5:01:00,5:01:00,6:31:00,12:20:00,12:20:00,15:07:00,15:07:00,17:45:00,17:45:00,19:15:00,19:15:00,bari
"28 febbraio 2026, sabato",4:59:00,4:59:00,6:29:00,12:19:30,12:19:30,15:07:15,15:07:15,17:46:00,17:46:00,19:16:00,19:16:00,bari
"1 marzo 2026, domenica",4:58:00,4:58:00,6:28:00,12:20:00,12:20:00,15:08:30,15:08:30,17:47:00,17:47:00,19:17:00,19:17:00,bari
"2 marzo 2026, lunedì",4:56:00,4:56:00,6:26:00,12:19:30,12:19:30,15:08:45,15:08:45,17:48:00,17:48:00,19:18:00,19:18:00,bari
"3 marzo 2026, martedì",4:54:00,4:54:00,6:24:00,12:18:30,12:18:30,15:08:15,15:08:15,17:49:00,17:49:00,19:19:00,19:19:00,bari
"4 marzo 2026, mercoledì",4:53:00,4:53:00,6:23:00,12:19:00,12:19:00,15:09:30,15:09:30,17:50:00,17:50:00,19:20:00,19:20:00,bari
"5 marzo 2026, giovedì",4:51:00,4:51:00,6:21:00,12:18:30,12:18:30,15:09:45,15:09:45,17:51:00,17:51:00,19:21:00,19:21:00,bari
"6 marzo 2026, venerdì",4:50:00,4:50:00,6:20:00,12:18:30,12:18:30,15:10:15,15:10:15,17:53:00,17:53:00,19:23:00,19:23:00,bari
"7 marzo 2026, sabato",4:48:00,4:48:00,6:18:00,12:18:00,12:18:00,15:10:30,15:10:30,17:54:00,17:54:00,19:24:00,19:24:00,bari
"8 marzo 2026, domenica",4:47:00,4:47:00,6:17:00,12:18:30,12:18:30,15:11:45,15:11:45,17:55:00,17:55:00,19:25:00,19:25:00,bari
"9 marzo 2026, lunedì",4:45:00,4:45:00,6:15:00,12:18:00,12:18:00,15:12:00,15:12:00,17:56:00,17:56:00,19:26:00,19:26:00,bari
"10 marzo 2026, martedì",4:43:00,4:43:00,6:13:00,12:17:00,12:17:00,15:11:30,15:11:30,17:57:00,17:57:00,19:27:00,19:27:00,bari
"11 marzo 2026, mercoledì",4:42:00,4:42:00,6:12:00,12:17:30,12:17:30,15:12:45,15:12:45,17:58:00,17:58:00,19:28:00,19:28:00,bari
"12 marzo 2026, giovedì",4:40:00,4:40:00,6:10:00,12:17:00,12:17:00,15:13:00,15:13:00,17:59:00,17:59:00,19:29:00,19:29:00,bari
"13 marzo 2026, venerdì",4:38:00,4:38:00,6:08:00,12:16:30,12:16:30,15:13:15,15:13:15,18:00:00,18:00:00,19:30:00,19:30:00,bari
"14 marzo 2026, sabato",4:37:00,4:37:00,6:07:00,12:16:30,12:16:30,15:13:45,15:13:45,18:02:00,18:02:00,19:32:00,19:32:00,bari
"15 marzo 2026, domenica",4:35:00,4:35:00,6:05:00,12:16:00,12:16:00,15:14:00,15:14:00,18:03:00,18:03:00,19:33:00,19:33:00,bari
"16 marzo 2026, lunedì",4:33:00,4:33:00,6:03:00,12:15:30,12:15:30,15:14:15,15:14:15,18:04:00,18:04:00,19:34:00,19:34:00,bari
"17 marzo 2026, martedì",4:32:00,4:32:00,6:02:00,12:16:00,12:16:00,15:15:30,15:15:30,18:05:00,18:05:00,19:35:00,19:35:00,bari
"18 marzo 2026, mercoledì",4:30:00,4:30:00,6:00:00,12:15:00,12:15:00,15:15:00,15:15:00,18:06:00,18:06:00,19:36:00,19:36:00,bari
"19 marzo 2026, giovedì",4:28:00,4:28:00,5:58:00,12:14:30,12:14:30,15:15:15,15:15:15,18:07:00,18:07:00,19:37:00,19:37:00,bari
"19 febbraio 2026, giovedì",5:48:00,5:48:00,7:18:00,12:50:00,12:50:00,15:28:30,15:28:30,17:57:00,17:57:00,19:27:00,19:27:00,bergamo
"20 febbraio 2026, venerdì",5:46:00,5:46:00,7:16:00,12:49:30,12:49:30,15:28:45,15:28:45,17:59:00,17:59:00,19:29:00,19:29:00,bergamo
"21 febbraio 2026, sabato",5:44:00,5:44:00,7:14:00,12:49:00,12:49:00,15:29:00,15:29:00,18:00:00,18:00:00,19:30:00,19:30:00,bergamo
"22 febbraio 2026, domenica",5:43:00,5:43:00,7:13:00,12:49:30,12:49:30,15:30:15,15:30:15,18:02:00,18:02:00,19:32:00,19:32:00,bergamo
"23 febbraio 2026, lunedì",5:41:00,5:41:00,7:11:00,12:49:30,12:49:30,15:31:15,15:31:15,18:03:00,18:03:00,19:33:00,19:33:00,bergamo
"24 febbraio 2026, martedì",5:39:00,5:39:00,7:09:00,12:49:00,12:49:00,15:31:30,15:31:30,18:04:00,18:04:00,19:34:00,19:34:00,bergamo
"25 febbraio 2026, mercoledì",5:38:00,5:38:00,7:08:00,12:49:30,12:49:30,15:32:45,15:32:45,18:06:00,18:06:00,19:36:00,19:36:00,bergamo
"26 febbraio 2026, giovedì",5:36:00,5:36:00,7:06:00,12:49:00,12:49:00,15:33:00,15:33:00,18:07:00,18:07:00,19:37:00,19:37:00,bergamo
"27 febbraio 2026, venerdì",5:34:00,5:34:00,7:04:00,12:48:30,12:48:30,15:33:15,15:33:15,18:09:00,18:09:00,19:39:00,19:39:00,bergamo
"28 febbraio 2026, sabato",5:32:00,5:32:00,7:02:00,12:48:00,12:48:00,15:33:30,15:33:30,18:10:00,18:10:00,19:40:00,19:40:00,bergamo
"1 marzo 2026, domenica",5:31:00,5:31:00,7:01:00,12:48:30,12:48:30,15:34:45,15:34:45,18:11:00,18:11:00,19:41:00,19:41:00,bergamo
"2 marzo 2026, lunedì",5:29:00,5:29:00,6:59:00,12:48:30,12:48:30,15:35:45,15:35:45,18:13:00,18:13:00,19:43:00,19:43:00,bergamo
"3 marzo 2026, martedì",5:27:00,5:27:00,6:57:00,12:48:00,12:48:00,15:36:00,15:36:00,18:14:00,18:14:00,19:44:00,19:44:00,bergamo
"4 marzo 2026, mercoledì",5:25:00,5:25:00,6:55:00,12:47:30,12:47:30,15:36:15,15:36:15,18:16:00,18:16:00,19:46:00,19:46:00,bergamo
"5 marzo 2026, giovedì",5:23:00,5:23:00,6:53:00,12:47:00,12:47:00,15:36:30,15:36:30,18:17:00,18:17:00,19:47:00,19:47:00,bergamo
"6 marzo 2026, venerdì",5:22:00,5:22:00,6:52:00,12:47:30,12:47:30,15:37:45,15:37:45,18:18:00,18:18:00,19:48:00,19:48:00,bergamo
"7 marzo 2026, sabato",5:20:00,5:20:00,6:50:00,12:47:30,12:47:30,15:38:45,15:38:45,18:20:00,18:20:00,19:50:00,19:50:00,bergamo
"8 marzo 2026, domenica",5:18:00,5:18:00,6:48:00,12:47:00,12:47:00,15:39:00,15:39:00,18:21:00,18:21:00,19:51:00,19:51:00,bergamo
"9 marzo 2026, lunedì",5:16:00,5:16:00,6:46:00,12:46:30,12:46:30,15:39:15,15:39:15,18:22:00,18:22:00,19:52:00,19:52:00,bergamo
"10 marzo 2026, martedì",5:14:00,5:14:00,6:44:00,12:46:00,12:46:00,15:39:30,15:39:30,18:24:00,18:24:00,19:54:00,19:54:00,bergamo
"11 marzo 2026, mercoledì",5:12:00,5:12:00,6:42:00,12:45:30,12:45:30,15:39:45,15:39:45,18:25:00,18:25:00,19:55:00,19:55:00,bergamo
"12 marzo 2026, giovedì",5:10:00,5:10:00,6:40:00,12:45:30,12:45:30,15:40:45,15:40:45,18:27:00,18:27:00,19:57:00,19:57:00,bergamo
"13 marzo 2026, venerdì",5:08:00,5:08:00,6:38:00,12:45:00,12:45:00,15:41:00,15:41:00,18:28:00,18:28:00,19:58:00,19:58:00,bergamo
"14 marzo 2026, sabato",5:07:00,5:07:00,6:37:00,12:45:30,12:45:30,15:42:15,15:42:15,18:29:00,18:29:00,19:59:00,19:59:00,bergamo
"15 marzo 2026, domenica",5:05:00,5:05:00,6:35:00,12:45:00,12:45:00,15:42:30,15:42:30,18:31:00,18:31:00,20:01:00,20:01:00,bergamo
"16 marzo 2026, lunedì",5:03:00,5:03:00,6:33:00,12:45:00,12:45:00,15:43:30,15:43:30,18:32:00,18:32:00,20:02:00,20:02:00,bergamo
"17 marzo 2026, martedì",5:01:00,5:01:00,6:31:00,12:44:30,12:44:30,15:43:45,15:43:45,18:33:00,18:33:00,20:03:00,20:03:00,bergamo
"18 marzo 2026, mercoledì",4:59:00,4:59:00,6:29:00,12:44:00,12:44:00,15:44:00,15:44:00,18:35:00,18:35:00,20:05:00,20:05:00,bergamo
"19 marzo 2026, giovedì",4:57:00,4:57:00,6:27:00,12:43:30,12:43:30,15:44:15,15:44:15,18:36:00,18:36:00,20:06:00,20:06:00,bergamo
"19 febbraio 2026, giovedì",5:54:00,5:54:00,7:24:00,12:56:30,12:56:30,15:35:15,15:35:15,18:04:00,18:04:00,19:34:00,19:34:00,biella
"20 febbraio 2026, venerdì",5:52:00,5:52:00,7:22:00,12:56:00,12:56:00,15:35:30,15:35:30,18:05:00,18:05:00,19:35:00,19:35:00,biella
"21 febbraio 2026, sabato",5:51:00,5:51:00,7:21:00,12:56:30,12:56:30,15:36:45,15:36:45,18:07:00,18:07:00,19:37:00,19:37:00,biella
"22 febbraio 2026, domenica",5:49:00,5:49:00,7:19:00,12:56:00,12:56:00,15:37:00,15:37:00,18:08:00,18:08:00,19:38:00,19:38:00,biella
"23 febbraio 2026, lunedì",5:47:00,5:47:00,7:17:00,12:55:30,12:55:30,15:37:15,15:37:15,18:10:00,18:10:00,19:40:00,19:40:00,biella
"24 febbraio 2026, martedì",5:46:00,5:46:00,7:16:00,12:56:00,12:56:00,15:38:30,15:38:30,18:11:00,18:11:00,19:41:00,19:41:00,biella
"25 febbraio 2026, mercoledì",5:44:00,5:44:00,7:14:00,12:55:30,12:55:30,15:38:45,15:38:45,18:13:00,18:13:00,19:43:00,19:43:00,biella
"26 febbraio 2026, giovedì",5:42:00,5:42:00,7:12:00,12:55:00,12:55:00,15:39:00,15:39:00,18:14:00,18:14:00,19:44:00,19:44:00,biella
"27 febbraio 2026, venerdì",5:40:00,5:40:00,7:10:00,12:54:30,12:54:30,15:39:15,15:39:15,18:15:00,18:15:00,19:45:00,19:45:00,biella
"28 febbraio 2026, sabato",5:39:00,5:39:00,7:09:00,12:55:30,12:55:30,15:41:15,15:41:15,18:17:00,18:17:00,19:47:00,19:47:00,biella
"1 marzo 2026, domenica",5:37:00,5:37:00,7:07:00,12:55:00,12:55:00,15:41:30,15:41:30,18:18:00,18:18:00,19:48:00,19:48:00,biella
"2 marzo 2026, lunedì",5:35:00,5:35:00,7:05:00,12:54:30,12:54:30,15:41:45,15:41:45,18:19:00,18:19:00,19:49:00,19:49:00,biella
"3 marzo 2026, martedì",5:33:00,5:33:00,7:03:00,12:54:00,12:54:00,15:42:00,15:42:00,18:21:00,18:21:00,19:51:00,19:51:00,biella
